site;fish;parspeciesrichness;div_shannon;div_simpson;;temp;pH;conductivity;nitrogen;phosphorus;oxygen;netcen;updist;updist2;updist3;fishspeciesrichness;weight;length;confactor;Sex ;PI;gyro;tricho;glugea;ecto_screener;contra;cystsliver;proteo;acantho;cama;angui;cistsintestine;endo_screener
9;4;2;0.636514168;0.444444444;;20.5;8.1;906;2;0.31;7;47724.46004;49932.68291;14010;23559;4;179;47;38.09;F;1.52;2;0;0;ID;0;0;0;0;0;1;0;PH
9;5;2;0.206192051;0.099722992;;20.5;8.1;906;2;0.31;7;47724.46004;49932.68291;14010;23559;4;90;37;24.32;F;0.45;1;18;0;SM;0;0;0;0;0;0;0;SM
9;6;0;0;1;;20.5;8.1;906;2;0.31;7;47724.46004;49932.68291;14010;23559;4;158;46;34.35;M;0;0;0;0;PH;0;0;0;0;0;0;0;PH
9;7;0;0;1;;20.5;8.1;906;2;0.31;7;47724.46004;49932.68291;14010;23559;4;175;48;36.46;M;0;0;0;0;ID;0;0;0;0;0;0;0;PH
9;8;2;0.191444082;0.090702948;;20.5;8.1;906;2;0.31;7;47724.46004;49932.68291;14010;23559;4;98;41;23.9;F;0.47;1;20;0;ID;0;0;0;0;0;0;0;PH
9;9;3;0.755719873;0.393194707;;20.5;8.1;906;2;0.31;7;47724.46004;49932.68291;14010;23559;4;103;39;26.41;F;17.42;7;35;0;ID;0;3;0;0;0;0;1;PH
9;10;2;0.683738906;0.37037037;;20.5;8.1;906;2;0.31;7;47724.46004;49932.68291;14010;23559;4;76;38;20;M;8.39;0;7;0;SM;0;1;0;0;0;0;1;SM
11;2;2;0.636514168;0.444444444;;18.2;8.3;691;8.3;1.2;2.2;49875.30195;52217.7333;16039;23356;3;88;42;20.95;M;0.32;1;2;0;SM;0;0;0;0;0;0;0;SM
11;3;2;0.693147181;0.5;;18.2;8.3;691;8.3;1.2;2.2;49875.30195;52217.7333;16039;23356;3;95;41;23.17;F;0.31;1;1;0;SM;0;0;0;0;0;0;0;SM
11;4;1;0;0;;18.2;8.3;691;8.3;1.2;2.2;49875.30195;52217.7333;16039;23356;3;98;41;23.9;M;0.24;0;29;0;SM;0;0;0;0;0;0;0;SM
11;5;2;0.610864302;0.42;;18.2;8.3;691;8.3;1.2;2.2;49875.30195;52217.7333;16039;23356;3;73;40;18.25;M;0.97;3;7;0;SM;0;0;0;0;0;0;0;SM
11;6;2;0.233791659;0.1171875;;18.2;8.3;691;8.3;1.2;2.2;49875.30195;52217.7333;16039;23356;3;62;36;17.22;M;0.43;1;15;0;SM;0;0;0;0;0;0;0;SM
11;7;1;0;0;;18.2;8.3;691;8.3;1.2;2.2;49875.30195;52217.7333;16039;23356;3;113;44;25.68;M;0.07;0;8;0;SM;0;0;0;0;0;0;0;SM
11;8;1;0;0;;18.2;8.3;691;8.3;1.2;2.2;49875.30195;52217.7333;16039;23356;3;60;36;16.67;F;0.51;0;60;0;SM;0;0;0;0;0;0;0;SM
11;9;3;0.456239344;0.241445598;;18.2;8.3;691;8.3;1.2;2.2;49875.30195;52217.7333;16039;23356;3;73;37;19.73;F;5.52;6;44;0;SM;0;1;0;0;0;0;0;SM
11;10;1;0;0;;18.2;8.3;691;8.3;1.2;2.2;49875.30195;52217.7333;16039;23356;3;142;46;30.87;M;0.14;0;17;0;SM;0;0;0;0;0;0;0;SM
11;11;1;0;0;;18.2;8.3;691;8.3;1.2;2.2;49875.30195;52217.7333;16039;23356;3;123;44;27.95;F;0.91;3;0;0;PH;0;0;0;0;0;0;0;PH
